,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
101,Luxembourg,288658.0,1123.0,,283668.0,3867.0,,449363.0,1748.0,4402293.0,6853194.0,642371.0,LUX,Western Europe,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,Europe
102,Algeria,270668.0,6879.0,,182306.0,81483.0,6.0,5968.0,152.0,230861.0,5091.0,45350148.0,DZA,Northern Africa,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298,Africa
103,Nigeria,265382.0,3155.0,,258381.0,3846.0,11.0,1224.0,15.0,5441162.0,25104.0,216746934.0,NGA,Sub-Saharan Africa,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244,Africa
104,Zimbabwe,257409.0,5602.0,,251281.0,526.0,12.0,16790.0,365.0,2511501.0,163814.0,15331428.0,ZWE,Sub-Saharan Africa,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579,Africa
105,China,250449.0,5226.0,,242254.0,2969.0,36.0,173.0,4.0,160000000.0,110461.0,1448471400.0,CHN,Asia (Ex. Near East),9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,Asia
106,Uzbekistan,244199.0,1637.0,,241486.0,1076.0,23.0,7103.0,48.0,1377915.0,40077.0,34382084.0,UZB,C.W. Of Ind. States,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.229,0.43,Asia
107,Mozambique,230219.0,2221.0,,227882.0,116.0,11.0,6957.0,67.0,1371127.0,41437.0,33089461.0,MOZ,Sub-Saharan Africa,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39,Africa
108,Brunei,226237.0,225.0,,222140.0,3872.0,3.0,507906.0,505.0,717784.0,1611437.0,445431.0,BRN,Asia (Ex. Near East),5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036,0.561,0.403,Asia
109,Martinique,221618.0,1044.0,,,,8.0,592424.0,2791.0,828928.0,2215870.0,374087.0,MTQ,Latin Amer. & Carib,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83,North America
110,Laos,215843.0,758.0,,,,,28852.0,101.0,1233207.0,164845.0,7481023.0,LAO,Asia (Ex. Near East),236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258,Asia
111,Kyrgyzstan,206083.0,2991.0,,196406.0,6686.0,131.0,30629.0,445.0,1907195.0,283460.0,6728271.0,KGZ,C.W. Of Ind. States,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439,Asia
112,Iceland,205637.0,213.0,,,,2.0,595371.0,617.0,1996384.0,5780036.0,345393.0,ISL,Western Europe,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765,Europe
113,El Salvador,201785.0,4229.0,,179410.0,18146.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0,SLV,Latin Amer. & Carib,21040,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,2.0,26.61,5.78,0.099,0.302,0.599,North America
114,Afghanistan,199067.0,7799.0,,177850.0,13418.0,1124.0,4885.0,191.0,1103716.0,27082.0,40754388.0,AFG,Asia (Ex. Near East),647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38,Asia
115,Guadeloupe,192801.0,989.0,,,,19.0,482251.0,2474.0,938039.0,2346306.0,399794.0,GLP,Latin Amer. & Carib,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,11.24,3.55,85.21,2.0,15.05,6.09,0.15,0.17,0.68,North America
116,Maldives,185042.0,308.0,,163687.0,21047.0,25.0,342046.0,569.0,2213831.0,4092223.0,540985.0,MDV,Asia (Ex. Near East),300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62,Asia
117,Trinidad and Tobago,182597.0,4195.0,,174214.0,4188.0,18.0,129816.0,2982.0,834508.0,593287.0,1406585.0,TTO,Latin Amer. & Carib,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,2.0,12.9,10.57,0.007,0.57,0.423,North America
118,Uganda,169396.0,3628.0,,100431.0,65337.0,3.0,3498.0,75.0,3012408.0,62198.0,48432863.0,UGA,Sub-Saharan Africa,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.311,0.222,0.469,Africa
119,Namibia,169253.0,4065.0,,164813.0,375.0,,64260.0,1543.0,1062663.0,403460.0,2633874.0,NAM,Sub-Saharan Africa,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.097,0.315,0.588,Africa
120,Ghana,169100.0,1459.0,,167307.0,334.0,2.0,5220.0,45.0,2504017.0,77295.0,32395450.0,GHA,Sub-Saharan Africa,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.246,0.387,Africa
121,Jamaica,151829.0,3317.0,,99239.0,49273.0,,50862.0,1111.0,1183986.0,396633.0,2985094.0,JAM,Latin Amer. & Carib,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,2.0,20.82,6.52,0.049,0.337,0.615,North America
122,Cambodia,137870.0,3056.0,,134745.0,69.0,,8030.0,178.0,3069567.0,178789.0,17168639.0,KHM,Asia (Ex. Near East),181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35,Asia
123,Rwanda,132498.0,1466.0,,130955.0,77.0,,9742.0,108.0,5816624.0,427678.0,13600464.0,RWA,Sub-Saharan Africa,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,0.401,0.229,0.37,Africa
124,Cameroon,121652.0,1935.0,,118616.0,1101.0,13.0,4358.0,69.0,1751774.0,62762.0,27911548.0,CMR,Sub-Saharan Africa,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,Africa
125,Malta,114652.0,806.0,,113195.0,651.0,4.0,258206.0,1815.0,2060900.0,4641322.0,444033.0,MLT,Western Europe,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,Europe
126,Angola,103131.0,1917.0,,101155.0,59.0,,2944.0,55.0,1499795.0,42818.0,35027343.0,AGO,Sub-Saharan Africa,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246,Africa
127,Barbados,102546.0,559.0,,101760.0,227.0,,356034.0,1941.0,765378.0,2657350.0,288023.0,BRB,Latin Amer. & Carib,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78,North America
128,French Guiana,93974.0,410.0,,11254.0,82310.0,3.0,299119.0,1305.0,651257.0,2072951.0,314169.0,GUF,Latin Amer. & Carib,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,0.14,0.05,99.81,2.0,20.46,4.88,0.066,0.156,0.778,South America
129,Congo,92852.0,1442.0,,83504.0,7906.0,,975.0,15.0,846704.0,8890.0,95240792.0,COG,Sub-Saharan Africa,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34,Africa
130,Congo,24837.0,386.0,,24006.0,445.0,,4284.0,67.0,347815.0,59991.0,5797805.0,COG,Sub-Saharan Africa,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34,Africa
